epoch,accuracy,learning_rate,loss,top_2_acc,val_accuracy,val_loss,val_top_2_acc
0,0.37212544679641724,0.0005000000237487257,0.8811498880386353,0.7045296430587769,0.43739837408065796,0.46947169303894043,0.7691056728363037
1,0.41777002811431885,0.0005000000237487257,0.6188917756080627,0.7355400919914246,0.4585365951061249,0.4746670722961426,0.7967479825019836
2,0.4414634108543396,0.0005000000237487257,0.5767626762390137,0.7473867535591125,0.49593496322631836,0.4577065110206604,0.785365879535675
3,0.451916366815567,0.0005000000237487257,0.536946713924408,0.7668989300727844,0.5398374199867249,0.4324769973754883,0.8032520413398743
4,0.46794426441192627,0.0005000000237487257,0.518123209476471,0.7658536434173584,0.5707316994667053,0.4289628565311432,0.7983739972114563
5,0.45574912428855896,0.0005000000237487257,0.5156440734863281,0.7574912905693054,0.5739837288856506,0.39951732754707336,0.8178861737251282
6,0.4860627055168152,0.0005000000237487257,0.4857870638370514,0.7696864008903503,0.5707316994667053,0.40438807010650635,0.8325203061103821
7,0.5153310298919678,0.0005000000237487257,0.4649304747581482,0.794773519039154,0.5869918465614319,0.3884443938732147,0.8455284833908081
8,0.510801374912262,0.0005000000237487257,0.46160751581192017,0.7989547252655029,0.5739837288856506,0.3958691358566284,0.8487805128097534
9,0.5240418314933777,0.0005000000237487257,0.4566532075405121,0.793728232383728,0.21463415026664734,1.0652337074279785,0.8081300854682922
10,0.5379790663719177,0.0005000000237487257,0.4476322531700134,0.8083623647689819,0.6016260385513306,0.3768211901187897,0.8487805128097534
11,0.5567944049835205,0.0005000000237487257,0.43656376004219055,0.8121951222419739,0.5398374199867249,0.4187454879283905,0.8325203061103821
12,0.5644599199295044,0.0005000000237487257,0.42755427956581116,0.810452938079834,0.5837398171424866,0.3846718370914459,0.8357723355293274
13,0.5620208978652954,0.0005000000237487257,0.43076953291893005,0.80452960729599,0.6146341562271118,0.377360999584198,0.8536585569381714
14,0.5602787733078003,0.0005000000237487257,0.4173775315284729,0.8219512104988098,0.6195122003555298,0.3762282729148865,0.8390243649482727
15,0.5672473907470703,0.0005000000237487257,0.42258578538894653,0.8202090859413147,0.5918698906898499,0.37646737694740295,0.8585366010665894
16,0.5679442286491394,0.0005000000237487257,0.41581740975379944,0.8160278797149658,0.6113821268081665,0.36627131700515747,0.869918704032898
17,0.5620208978652954,0.0005000000237487257,0.41188764572143555,0.815330982208252,0.6032520532608032,0.3707141876220703,0.86504065990448
18,0.5675958395004272,0.0005000000237487257,0.4143889546394348,0.8146341443061829,0.5934959053993225,0.39828479290008545,0.8308942914009094
19,0.5783972144126892,0.0005000000237487257,0.4038873612880707,0.8289198875427246,0.6195122003555298,0.3702729642391205,0.8536585569381714
20,0.5853658318519592,0.0005000000237487257,0.405349999666214,0.8348432183265686,0.6178861856460571,0.37125614285469055,0.8439024686813354
21,0.5846689939498901,0.0005000000237487257,0.40406957268714905,0.8331010341644287,0.5951219797134399,0.39378756284713745,0.8243902325630188
22,0.5735191702842712,0.0002500000118743628,0.4071691334247589,0.8240417838096619,0.6276422739028931,0.3723263144493103,0.8634146451950073
23,0.5919860601425171,0.0002500000118743628,0.40050366520881653,0.8390243649482727,0.6292682886123657,0.36753347516059875,0.8617886304855347
24,0.5850174427032471,0.0002500000118743628,0.39949896931648254,0.8327525854110718,0.6113821268081665,0.3680790960788727,0.8682926893234253
25,0.5846689939498901,0.0002500000118743628,0.4015602171421051,0.8362369537353516,0.6081300973892212,0.36833295226097107,0.860162615776062
26,0.588850200176239,0.0002500000118743628,0.39613786339759827,0.8285714387893677,0.6260162591934204,0.36551937460899353,0.8634146451950073
27,0.588850200176239,0.0002500000118743628,0.39724987745285034,0.8289198875427246,0.6146341562271118,0.3662479817867279,0.86504065990448
28,0.5881533026695251,0.0002500000118743628,0.3884987235069275,0.8313589096069336,0.6146341562271118,0.3666819632053375,0.8731707334518433
29,0.598606288433075,0.0002500000118743628,0.38902682065963745,0.8425087332725525,0.6032520532608032,0.37048399448394775,0.8455284833908081
30,0.5853658318519592,0.0002500000118743628,0.39469113945961,0.8341463208198547,0.6146341562271118,0.36645111441612244,0.8520325422286987
31,0.5808362364768982,0.0002500000118743628,0.39722904562950134,0.8414633870124817,0.6162601709365845,0.3691011965274811,0.8504065275192261
32,0.5930313467979431,0.0001250000059371814,0.3896859884262085,0.8397212624549866,0.6162601709365845,0.3662501573562622,0.8471544981002808
33,0.589895486831665,0.0001250000059371814,0.388961523771286,0.8407665491104126,0.6097561120986938,0.36630263924598694,0.8504065275192261
34,0.599651575088501,0.0001250000059371814,0.39227256178855896,0.8397212624549866,0.6097561120986938,0.3666955828666687,0.8487805128097534
35,0.5989546775817871,0.0001250000059371814,0.38689836859703064,0.8393728137016296,0.6130081415176392,0.3666631281375885,0.86504065990448
36,0.596167266368866,0.0001250000059371814,0.3884426951408386,0.8407665491104126,0.6178861856460571,0.3647368252277374,0.8617886304855347
37,0.6087108254432678,0.0001250000059371814,0.38747984170913696,0.8365853428840637,0.6130081415176392,0.36494317650794983,0.8617886304855347
38,0.6038327813148499,0.0001250000059371814,0.38925105333328247,0.8439024686813354,0.6162601709365845,0.3617497682571411,0.8666666746139526
39,0.6083623766899109,0.0001250000059371814,0.38120290637016296,0.8411149978637695,0.6178861856460571,0.3605775833129883,0.860162615776062
40,0.5989546775817871,0.0001250000059371814,0.3834865689277649,0.8386759757995605,0.6243902444839478,0.3615482449531555,0.86504065990448
41,0.608013927936554,0.0001250000059371814,0.380458801984787,0.8445993065834045,0.6276422739028931,0.3624093532562256,0.8569105863571167
42,0.591289222240448,0.0001250000059371814,0.3896555006504059,0.8351916670799255,0.6195122003555298,0.3646041452884674,0.8569105863571167
43,0.602787435054779,0.0001250000059371814,0.3875739574432373,0.8348432183265686,0.6276422739028931,0.3606474697589874,0.8617886304855347
44,0.6013936996459961,0.0001250000059371814,0.3820059299468994,0.8501741886138916,0.6178861856460571,0.3623453974723816,0.8617886304855347
45,0.6000000238418579,6.25000029685907e-05,0.38414064049720764,0.8425087332725525,0.6130081415176392,0.36376887559890747,0.8617886304855347
46,0.6153309941291809,6.25000029685907e-05,0.37820926308631897,0.8494773507118225,0.6162601709365845,0.36315295100212097,0.8617886304855347
47,0.605226457118988,6.25000029685907e-05,0.3802850544452667,0.8473867774009705,0.6113821268081665,0.3620145618915558,0.860162615776062
48,0.608013927936554,6.25000029685907e-05,0.3842169940471649,0.8463414907455444,0.6113821268081665,0.3620564639568329,0.860162615776062
49,0.6003484129905701,6.25000029685907e-05,0.3807232677936554,0.8452961444854736,0.6113821268081665,0.3615087866783142,0.8715447187423706
